Local Time [hour]	InSight Normalized Pressure [%]
23.252778	2.805008
23.253056	2.805199
23.253056	2.803209
23.253333	2.802964
23.253333	2.803605
23.253611	2.801833
23.253611	2.802406
23.253889	2.802583
23.253889	2.802133
23.254167	2.802024
23.254167	2.803509
23.254444	2.807297
23.254444	2.805458
23.254722	2.802201
23.254722	2.803496
23.255000	2.798359
23.255000	2.795089
23.255278	2.800811
23.255278	2.802419
23.255556	2.800007
23.255556	2.795688
23.255833	2.798045
23.255833	2.802705
23.256111	2.797596
23.256111	2.798781
23.256389	2.803060
23.256389	2.800403
23.256667	2.800866
23.256667	2.804477
23.256944	2.804954
23.256944	2.802528
23.257222	2.800839
23.257222	2.799789
23.257500	2.800130
23.257500	2.802351
23.257778	2.803536
23.257778	2.802896
23.257778	2.801724
23.258056	2.802283
23.258056	2.804327
23.258333	2.803209
23.258333	2.802106
23.258611	2.800893
23.258611	2.796315
23.258889	2.797677
23.258889	2.798168
23.259167	2.796301
23.259167	2.798168
23.259444	2.798182
23.259444	2.800389
23.259722	2.799939
23.259722	2.799203
23.260000	2.804027
23.260000	2.804776
23.260278	2.802923
23.260278	2.803046
23.260556	2.800621
23.260556	2.796778
23.260833	2.799680
23.260833	2.803196
23.261111	2.801629
23.261111	2.799599
23.261389	2.799517
23.261389	2.798345
23.261667	2.796437
23.261667	2.799708
23.261944	2.798658
23.261944	2.795211
23.262222	2.799490
23.262222	2.802242
23.262500	2.803141
23.262500	2.805485
23.262778	2.802596
23.262778	2.798536
23.262778	2.799885
23.263056	2.799817
23.263056	2.799122
23.263333	2.801002
23.263333	2.797623
23.263611	2.796982
23.263611	2.800130
23.263889	2.797146
23.263889	2.797609
23.264167	2.799258
23.264167	2.802324
23.264444	2.805362
23.264444	2.799026
23.264722	2.796110
23.264722	2.796805
23.265000	2.802242
23.265000	2.807134
23.265278	2.801138
23.265278	2.798481
23.265556	2.798427
23.265556	2.799762
23.265833	2.801138
23.265833	2.800007
23.266111	2.800702
23.266111	2.799817
23.266389	2.802487
23.266389	2.803346
23.266667	2.798808
23.266667	2.801615
23.266944	2.804490
23.266944	2.801874
23.267222	2.802406
23.267222	2.798699
23.267500	2.795484
23.267500	2.798945
23.267778	2.799013
23.267778	2.801493
23.267778	2.800076
23.268056	2.797623
23.268056	2.802133
23.268333	2.801288
23.268333	2.800661
23.268611	2.797051
23.268611	2.794026
23.268889	2.799517
23.268889	2.799612
23.269167	2.799244
23.269167	2.800784
23.269444	2.800702
23.269444	2.801002
23.269722	2.797160
23.269722	2.796124
23.270000	2.798999
23.270000	2.798972
23.270278	2.799353
23.270278	2.800920
23.270556	2.797023
23.270556	2.793099
23.270833	2.796628
23.270833	2.797432
23.271111	2.797064
23.271111	2.797119
23.271389	2.796110
23.271389	2.798672
23.271667	2.796492
23.271667	2.793508
23.271944	2.794121
23.271944	2.795320
23.272222	2.797528
23.272222	2.799122
23.272500	2.801942
23.272500	2.799462
23.272778	2.797255
23.272778	2.800144
23.272778	2.798590
23.273056	2.796383
23.273056	2.797895
23.273333	2.798168
23.273333	2.794952
23.273611	2.795020
23.273611	2.796710
23.273889	2.798713
23.273889	2.797977
23.274167	2.795661
23.274167	2.797827
23.274444	2.799953
23.274444	2.800035
23.274722	2.792840
23.274722	2.792718
23.275000	2.799122
23.275000	2.797841
23.275278	2.798359
23.275278	2.797596
23.275556	2.796683
23.275556	2.799926
23.275833	2.801070
23.275833	2.799667
23.276111	2.797064
23.276111	2.795688
23.276389	2.798413
23.276389	2.798481
23.276667	2.797609
23.276667	2.803046
23.276944	2.803536
23.276944	2.799312
23.277222	2.798182
23.277222	2.798168
23.277500	2.799776
23.277500	2.801002
23.277778	2.802951
23.277778	2.803359
23.277778	2.801288
23.278056	2.799394
23.278056	2.797909
23.278333	2.798945
23.278333	2.800334
23.278611	2.802106
23.278611	2.799353
23.278889	2.798222
23.278889	2.799626
23.279167	2.796533
23.279167	2.798699
23.279444	2.799231
23.279444	2.798604
23.279722	2.797310
23.279722	2.795770
23.280000	2.797405
23.280000	2.793576
23.280278	2.793971
23.280278	2.795756
23.280556	2.796792
23.280556	2.796996
23.280833	2.796669
23.280833	2.800934
23.281111	2.799544
23.281111	2.797310
23.281389	2.794135
23.281389	2.792050
23.281667	2.796206
23.281667	2.796955
23.281944	2.796083
23.281944	2.798536
23.282222	2.799721
23.282222	2.796696
23.282500	2.795606
23.282500	2.796860
23.282778	2.797936
23.282778	2.800512
23.282778	2.799721
23.283056	2.795783
23.283056	2.798086
23.283333	2.801874
23.283333	2.800253
23.283611	2.798304
23.283611	2.797146
23.283889	2.796805
23.283889	2.797187
23.284167	2.797909
23.284167	2.800784
23.284444	2.805703
23.284444	2.802882
23.284722	2.796179
23.284722	2.800648
23.285000	2.802079
23.285000	2.798645
23.285278	2.797718
23.285278	2.793821
23.285556	2.794939
23.285556	2.800212
23.285833	2.801806
23.285833	2.798713
23.286111	2.800007
23.286111	2.803209
23.286389	2.799272
23.286389	2.798985
23.286667	2.799939
23.286667	2.800212
23.286944	2.801097
23.286944	2.798250
23.287222	2.800157
23.287222	2.799926
23.287500	2.797228
23.287500	2.800144
23.287778	2.801070
23.287778	2.800716
23.287778	2.798876
23.288056	2.799830
23.288056	2.803114
23.288333	2.800403
23.288333	2.798740
23.288611	2.798686
23.288611	2.797895
23.288889	2.798604
23.288889	2.799340
23.289167	2.799176
23.289167	2.798222
23.289444	2.798876
23.289444	2.800443
23.289722	2.801125
23.289722	2.802119
23.290000	2.800116
23.290000	2.798808
23.290278	2.800171
23.290278	2.798890
23.290556	2.800689
23.290556	2.800988
23.290833	2.800621
23.290833	2.802119
23.291111	2.799789
23.291111	2.800893
23.291389	2.802501
23.291389	2.802733
23.291667	2.800988
23.291667	2.798263
23.291944	2.798413
23.291944	2.797786
23.292222	2.799122
23.292222	2.799381
23.292500	2.798904
23.292500	2.801465
23.292778	2.800144
23.292778	2.797841
23.292778	2.799122
23.293056	2.799558
23.293056	2.800934
23.293333	2.801752
23.293333	2.801111
23.293611	2.800825
23.293611	2.799108
23.293889	2.799544
23.293889	2.800525
23.294167	2.799653
23.294167	2.798277
23.294444	2.799721
23.294444	2.801752
23.294722	2.800443
23.294722	2.801547
23.295000	2.800702
23.295000	2.800076
23.295278	2.801302
23.295278	2.798563
23.295556	2.799163
23.295556	2.800770
23.295833	2.801016
23.295833	2.800076
23.296111	2.799122
23.296111	2.800580
23.296389	2.800007
23.296389	2.800621
23.296667	2.800185
23.296667	2.799462
23.296944	2.799817
23.296944	2.798577
23.297222	2.801275
23.297222	2.802378
23.297500	2.800811
23.297500	2.801002
23.297778	2.802228
23.297778	2.803005
23.297778	2.799694
23.298056	2.797909
23.298056	2.798250
23.298333	2.798045
23.298333	2.798931
23.298611	2.796942
23.298611	2.795497
23.298889	2.798645
23.298889	2.798781
23.299167	2.797514
23.299167	2.800130
23.299444	2.799980
23.299444	2.798740
23.299722	2.798795
23.299722	2.797132
23.300000	2.796274
23.300000	2.795688
23.300278	2.796274
23.300278	2.796383
23.300556	2.795075
23.300556	2.795157
23.300833	2.795892
23.300833	2.796519
23.301111	2.794843
23.301111	2.793903
23.301389	2.796315
23.301389	2.797882
23.301667	2.798386
23.301667	2.798645
23.301944	2.797473
23.301944	2.796846
23.302222	2.797269
23.302222	2.797419
23.302500	2.797201
23.302500	2.796478
23.302778	2.796410
23.302778	2.795661
23.302778	2.795375
23.303056	2.797882
23.303056	2.798849
23.303333	2.797868
23.303333	2.797746
23.303611	2.798372
23.303611	2.799340
23.303889	2.798863
23.303889	2.797718
23.304167	2.797296
23.304167	2.798250
23.304444	2.800702
23.304444	2.800525
23.304722	2.797950
23.304722	2.797446
23.305000	2.797609
23.305000	2.797051
23.305278	2.797064
23.305278	2.796315
23.305556	2.797405
23.305556	2.798209
23.305833	2.797296
23.305833	2.799626
23.306111	2.798631
23.306111	2.796560
23.306389	2.797473
23.306389	2.794312
23.306667	2.793644
23.306667	2.795892
23.306944	2.794434
23.306944	2.794898
23.307222	2.795933
23.307222	2.795061
23.307500	2.795075
23.307500	2.795075
23.307778	2.796492
23.307778	2.795906
23.307778	2.793522
23.308056	2.795238
23.308056	2.797528
23.308333	2.798059
23.308333	2.795484
23.308611	2.793372
23.308611	2.794489
23.308889	2.793372
23.308889	2.793426
23.309167	2.796301
23.309167	2.797419
23.309444	2.794475
23.309444	2.794176
23.309722	2.795770
23.309722	2.794135
23.310000	2.796138
23.310000	2.794952
23.310278	2.795579
23.310278	2.798400
23.310556	2.793045
23.310556	2.793385
23.310833	2.794734
23.310833	2.790851
23.311111	2.789407
23.311111	2.790878
23.311389	2.791014
23.311389	2.788058
23.311667	2.787008
23.311667	2.784937
23.311944	2.784992
23.311944	2.787145
23.312222	2.787008
23.312222	2.787485
23.312500	2.787594
23.312500	2.789447
23.312778	2.789570
23.312778	2.790783
23.312778	2.793331
23.313056	2.789856
23.313056	2.788916
23.313333	2.791014
23.313333	2.791628
23.313611	2.792650
23.313611	2.793535
23.313889	2.793944
23.313889	2.794748
23.314167	2.795157
23.314167	2.794189
23.314444	2.794325
23.314444	2.793740
23.314722	2.793304
23.314722	2.794680
23.315000	2.795307
23.315000	2.795579
23.315278	2.794230
23.315278	2.793617
23.315556	2.794257
23.315556	2.793399
23.315833	2.793522
23.315833	2.793290
23.316111	2.792200
23.316111	2.793304
23.316389	2.794462
23.316389	2.795783
23.316667	2.796410
23.316667	2.794598
23.316944	2.794830
23.316944	2.795307
23.317222	2.793740
23.317222	2.792949
23.317500	2.793808
23.317500	2.794680
23.317778	2.793208
23.317778	2.792064
23.317778	2.791995
23.318056	2.791614
23.318056	2.790878
23.318333	2.790497
23.318333	2.790810
23.318611	2.790551
23.318611	2.790892
23.318889	2.792704
23.318889	2.795320
23.319167	2.793208
23.319167	2.790606
23.319444	2.791873
23.319444	2.791886
23.319722	2.792118
23.319722	2.790497
23.320000	2.790974
23.320000	2.791437
23.320278	2.789447
23.320278	2.790061
23.320556	2.789366
23.320556	2.790251
23.320833	2.790388
23.320833	2.790824
23.321111	2.790619
23.321111	2.786559
23.321389	2.790006
23.321389	2.792881
23.321667	2.790306
23.321667	2.790292
23.321944	2.789843
23.321944	2.789543
23.322222	2.789911
23.322222	2.791532
23.322500	2.791682
23.322500	2.789257
23.322778	2.791151
23.322778	2.791805
23.322778	2.790701
23.323056	2.792541
23.323056	2.792268
23.323333	2.790946
23.323333	2.790115
23.323611	2.789502
23.323611	2.789284
23.323889	2.789502
23.323889	2.791328
23.324167	2.792091
23.324167	2.791423
23.324444	2.792077
23.324444	2.793304
23.324722	2.792254
23.324722	2.791423
23.325000	2.791805
23.325000	2.790565
23.325278	2.789938
23.325278	2.790047
23.325556	2.789407
23.325556	2.788439
23.325833	2.788289
23.325833	2.790211
23.326111	2.790674
23.326111	2.787649
23.326389	2.786995
23.326389	2.788058
23.326667	2.787226
23.326667	2.787526
23.326944	2.786736
23.326944	2.785264
23.327222	2.785660
23.327222	2.785714
23.327500	2.784460
23.327500	2.784188
23.327778	2.786423
23.327778	2.786859
23.327778	2.786245
23.328056	2.786177
23.328056	2.784951
23.328333	2.784787
23.328333	2.785605
23.328611	2.784965
23.328611	2.785564
23.328889	2.787458
23.328889	2.785782
23.329167	2.783902
23.329167	2.784365
23.329444	2.784597
23.329444	2.785796
23.329722	2.785959
23.329722	2.787731
23.330000	2.791587
23.330000	2.788167
23.330278	2.784828
23.330278	2.786532
23.330556	2.786886
23.330556	2.787581
23.330833	2.788194
23.330833	2.787990
23.331111	2.787622
23.331111	2.787622
23.331389	2.789257
23.331389	2.788071
23.331667	2.784474
23.331667	2.786259
23.331944	2.787785
23.331944	2.786790
23.332222	2.787199
23.332222	2.784719
23.332500	2.785251
23.332500	2.788344
23.332778	2.787090
23.332778	2.787213
23.332778	2.789257
23.333056	2.789407
23.333056	2.789652
23.333333	2.791982
23.333333	2.791396
23.333611	2.787499
23.333611	2.789134
23.333889	2.790006
23.333889	2.788153
23.334167	2.788807
23.334167	2.789434
23.334444	2.791396
23.334444	2.789175
23.334722	2.788276
23.334722	2.791655
23.335000	2.791914
23.335000	2.790142
23.335278	2.787485
23.335278	2.786545
23.335556	2.784951
23.335556	2.785782
23.335833	2.787485
23.335833	2.786491
23.336111	2.785591
23.336111	2.785755
23.336389	2.787376
23.336389	2.786790
23.336667	2.787731
23.336667	2.785741
23.336944	2.783943
23.336944	2.787417
23.337222	2.786627
23.337222	2.786259
23.337500	2.784692
23.337500	2.782321
23.337778	2.785551
23.337778	2.786804
23.337778	2.784338
23.338056	2.784202
23.338056	2.786341
23.338333	2.786872
23.338333	2.785387
23.338611	2.785564
23.338611	2.788862
23.338889	2.788575
23.338889	2.788099
23.339167	2.790824
23.339167	2.789529
23.339444	2.789325
23.339444	2.791341
23.339722	2.789039
23.339722	2.787867
23.340000	2.788330
23.340000	2.786845
23.340278	2.787458
23.340278	2.787172
23.340556	2.787117
23.340556	2.788058
23.340833	2.785223
23.340833	2.784828
23.341111	2.784610
23.341111	2.783861
23.341389	2.786831
23.341389	2.784747
23.341667	2.781667
23.341667	2.782117
23.341944	2.781095
23.341944	2.783370
23.342222	2.783970
23.342222	2.782485
23.342500	2.784978
23.342500	2.784161
23.342778	2.784420
23.342778	2.786722
23.342778	2.783752
23.343056	2.780550
23.343056	2.780754
23.343333	2.781231
23.343333	2.779133
23.343611	2.780223
23.343611	2.783711
23.343889	2.785687
23.343889	2.787322
23.344167	2.785346
23.344167	2.784515
23.344444	2.785128
23.344444	2.784965
23.344722	2.787785
23.344722	2.787349
23.345000	2.784542
23.345000	2.784842
23.345278	2.785891
23.345278	2.786736
23.345556	2.785428
23.345556	2.786859
23.345833	2.785809
23.345833	2.780523
23.346111	2.784120
23.346111	2.786273
23.346389	2.784147
23.346389	2.785183
23.346667	2.785605
23.346667	2.783711
23.346944	2.781967
23.346944	2.782771
23.347222	2.781885
23.347222	2.780972
23.347500	2.780345
23.347500	2.781027
23.347778	2.783793
23.347778	2.782907
23.347778	2.782021
23.348056	2.782090
23.348056	2.784202
23.348333	2.786654
23.348333	2.785332
23.348611	2.788507
23.348611	2.789039
23.348889	2.784842
23.348889	2.787513
23.349167	2.789597
23.349167	2.789366
23.349444	2.787608
23.349444	2.785551
23.349722	2.788208
23.349722	2.789611
23.350000	2.789911
23.350000	2.788453
23.350278	2.786641
23.350278	2.787104
23.350556	2.785142
23.350556	2.785769
23.350833	2.787594
23.350833	2.786995
23.351111	2.786845
23.351111	2.785401
23.351389	2.786082
23.351389	2.786205
23.351667	2.783806
23.351667	2.785019
23.351944	2.786518
23.351944	2.785619
23.352222	2.782893
23.352222	2.783030
23.352500	2.789420
23.352500	2.788630
23.352778	2.780305
23.352778	2.778492
23.352778	2.779896
23.353056	2.780250
23.353056	2.782784
23.353333	2.785251
23.353333	2.784597
23.353611	2.784937
23.353611	2.785673
23.353889	2.782771
23.353889	2.783997
23.354167	2.786981
23.354167	2.785523
23.354444	2.785728
23.354444	2.786109
23.354722	2.787485
23.354722	2.788725
23.355000	2.785482
23.355000	2.784365
23.355278	2.786790
23.355278	2.787553
23.355556	2.786463
23.355556	2.787090
23.355833	2.786572
23.355833	2.786913
23.356111	2.785605
23.356111	2.783411
23.356389	2.787840
23.356389	2.785264
23.356667	2.785455
23.356667	2.791314
23.356944	2.788317
23.356944	2.786382
23.357222	2.784297
23.357222	2.784338
23.357500	2.786109
23.357500	2.786491
23.357778	2.784937
23.357778	2.781803
23.357778	2.784529
23.358056	2.782158
23.358056	2.780781
23.358333	2.783861
23.358333	2.781599
23.358611	2.780127
23.358611	2.780277
23.358889	2.782008
23.358889	2.783956
23.359167	2.783902
23.359167	2.782989
23.359444	2.785101
23.359444	2.784869
23.359722	2.780959
23.359722	2.781981
23.360000	2.781517
23.360000	2.781340
23.360278	2.783970
23.360278	2.782907
23.360556	2.781654
23.360556	2.782212
23.360833	2.782253
23.360833	2.780414
23.361111	2.780591
23.361111	2.780850
23.361389	2.778601
23.361389	2.781490
23.361667	2.783752
23.361667	2.782199
23.361944	2.782008
23.361944	2.781831
23.362222	2.782907
23.362222	2.780209
23.362500	2.778819
23.362500	2.783466
23.362778	2.784678
23.362778	2.784188
23.362778	2.781299
23.363056	2.780305
23.363056	2.782417
23.363333	2.782321
23.363333	2.785319
23.363611	2.783411
23.363611	2.779909
23.363889	2.784856
23.363889	2.788766
23.364167	2.789447
23.364167	2.786804
23.364444	2.784678
23.364444	2.787444
23.364722	2.788398
23.364722	2.786804
23.365000	2.787771
23.365000	2.789202
23.365278	2.786232
23.365278	2.786763
23.365556	2.786886
23.365556	2.782757
23.365833	2.785987
23.365833	2.790401
23.366111	2.790006
23.366111	2.787513
23.366389	2.784678
23.366389	2.784133
23.366667	2.785196
23.366667	2.786368
23.366944	2.788562
23.366944	2.788044
23.367222	2.786341
23.367222	2.787022
23.367500	2.784229
23.367500	2.783139
23.367778	2.784474
23.367778	2.783616
23.367778	2.784133
23.368056	2.783466
23.368056	2.783670
23.368333	2.786341
23.368333	2.784951
23.368611	2.784951
23.368611	2.786191
23.368889	2.783275
23.368889	2.783534
23.369167	2.786273
23.369167	2.786695
23.369444	2.787840
23.369444	2.788725
23.369722	2.783711
23.369722	2.780686
23.370000	2.781899
23.370000	2.785469
23.370278	2.789911
23.370278	2.784760
23.370556	2.782907
23.370556	2.786014
23.370833	2.782430
23.370833	2.782280
23.371111	2.784869
23.371111	2.782907
23.371389	2.782226
23.371389	2.785714
23.371667	2.786395
23.371667	2.786000
23.371944	2.786136
23.371944	2.783370
23.372222	2.783670
23.372222	2.784188
23.372500	2.783902
23.372500	2.786055
23.372778	2.783806
23.372778	2.784365
23.373056	2.787717
23.373056	2.783439
23.373056	2.782362
23.373333	2.784529
23.373333	2.783834
23.373611	2.787254
23.373611	2.788426
23.373889	2.783657
23.373889	2.780931
23.374167	2.781027
23.374167	2.783411
23.374444	2.784733
23.374444	2.784079
23.374722	2.784951
23.374722	2.784815
23.375000	2.788248
23.375000	2.788589
23.375278	2.781122
23.375278	2.781953
23.375556	2.783643
23.375556	2.783030
23.375833	2.784392
23.375833	2.781068
23.376111	2.783207
23.376111	2.784719
23.376389	2.783534
23.376389	2.787812
23.376667	2.786027
23.376667	2.783221
23.376944	2.783834
23.376944	2.783834
23.377222	2.783806
23.377222	2.786191
23.377500	2.787022
23.377500	2.780509
23.377778	2.782239
23.377778	2.785482
23.378056	2.783002
23.378056	2.783466
23.378056	2.783738
23.378333	2.785673
23.378333	2.783439
23.378611	2.782730
23.378611	2.782171
23.378889	2.775495
23.378889	2.776408
23.379167	2.780141
23.379167	2.782130
23.379444	2.782730
23.379444	2.781504
23.379722	2.781204
23.379722	2.780781
23.380000	2.783439
23.380000	2.784229
23.380278	2.780550
23.380278	2.780059
23.380556	2.780482
23.380556	2.779732
23.380833	2.779146
23.380833	2.779296
23.381111	2.781654
23.381111	2.779787
23.381389	2.777566
23.381389	2.777988
23.381667	2.775072
23.381667	2.776762
23.381944	2.783166
23.381944	2.784106
23.382222	2.782526
23.382222	2.784869
23.382500	2.784951
23.382500	2.781354
23.382778	2.780359
23.382778	2.779732
23.383056	2.779555
23.383056	2.778629
23.383056	2.777484
23.383333	2.779855
23.383333	2.780018
23.383611	2.780863
23.383611	2.781858
23.383889	2.780523
23.383889	2.780468
23.384167	2.779364
23.384167	2.782430
23.384444	2.782703
23.384444	2.781122
23.384722	2.785632
23.384722	2.784365
23.385000	2.783098
23.385000	2.784365
23.385278	2.780550
23.385278	2.779487
23.385556	2.782812
23.385556	2.780945
23.385833	2.778084
23.385833	2.781981
23.386111	2.783629
23.386111	2.781027
23.386389	2.780822
23.386389	2.782076
23.386667	2.780482
23.386667	2.778874
23.386944	2.778165
23.386944	2.778615
23.387222	2.781000
23.387222	2.778561
23.387500	2.778574
23.387500	2.780741
23.387778	2.779433
23.387778	2.779446
23.388056	2.779800
23.388056	2.783834
23.388056	2.784256
23.388333	2.780632
23.388333	2.783302
23.388611	2.782212
23.388611	2.777075
23.388889	2.776789
23.388889	2.778656
23.389167	2.779841
23.389167	2.779841
23.389444	2.780332
23.389444	2.780632
23.389722	2.778860
23.389722	2.779201
23.390000	2.780918
23.390000	2.779732
23.390278	2.777470
23.390278	2.779623
23.390556	2.784229
23.390556	2.781054
23.390833	2.778451
23.390833	2.780822
23.391111	2.779651
23.391111	2.780127
23.391389	2.780741
23.391389	2.779419
23.391667	2.780400
23.391667	2.781068
23.391944	2.782021
23.391944	2.782021
23.392222	2.780441
23.392222	2.781735
23.392500	2.781953
23.392500	2.782185
23.392778	2.782321
23.392778	2.781245
23.393056	2.782335
23.393056	2.781599
23.393056	2.782389
23.393333	2.781545
23.393333	2.781354
23.393611	2.784406
23.393611	2.782362
23.393889	2.779705
23.393889	2.778983
23.394167	2.783098
23.394167	2.781708
23.394444	2.778915
23.394444	2.784610
23.394722	2.782784
23.394722	2.781967
23.395000	2.781408
23.395000	2.778969
23.395278	2.781994
23.395278	2.779405
23.395556	2.779378
23.395556	2.782485
23.395833	2.779760
23.395833	2.780127
23.396111	2.782021
23.396111	2.780223
23.396389	2.782662
23.396389	2.784883
23.396667	2.781640
23.396667	2.781395
23.396944	2.781994
23.396944	2.779746
23.397222	2.778370
23.397222	2.779923
23.397500	2.779937
23.397500	2.781177
23.397778	2.783248
23.397778	2.780577
23.398056	2.783370
23.398056	2.782090
23.398056	2.776040
23.398333	2.780659
23.398333	2.778874
23.398611	2.773860
23.398611	2.775822
23.398889	2.774214
23.398889	2.774555
23.399167	2.776517
23.399167	2.777552
23.399444	2.778533
23.399444	2.777034
23.399722	2.777852
23.399722	2.781177
23.400000	2.780618
23.400000	2.779160
23.400278	2.780632
23.400278	2.778574
23.400556	2.782158
23.400556	2.787158
23.400833	2.781299
23.400833	2.777511
23.401111	2.777171
23.401111	2.777620
23.401389	2.777280
23.401389	2.777430
23.401667	2.779814
23.401667	2.778710
23.401944	2.779324
23.401944	2.781245
23.402222	2.781776
23.402222	2.781436
23.402500	2.778315
23.402500	2.777075
23.402778	2.777784
23.402778	2.778206
23.403056	2.778956
23.403056	2.779855
23.403056	2.780291
23.403333	2.778833
23.403333	2.778465
23.403611	2.779324
23.403611	2.775903
23.403889	2.773710
23.403889	2.778465
23.404167	2.780509
23.404167	2.777906
23.404444	2.777103
23.404444	2.777034
23.404722	2.776626
23.404722	2.780127
23.405000	2.782580
23.405000	2.777239
23.405278	2.779242
23.405278	2.783057
23.405556	2.775863
23.405556	2.773819
23.405833	2.778179
23.405833	2.778124
23.406111	2.773805
23.406111	2.776489
23.406389	2.777293
23.406389	2.775508
23.406667	2.780018
23.406667	2.776026
23.406944	2.777838
23.406944	2.781449
23.407222	2.776925
23.407222	2.777729
